Generation,N_Total,C0,mu0_A,alpha_A,mu_bar_A,p_A,epsilon_A,R_A,s_A,mu0_B,alpha_B,mu_bar_B,p_B,epsilon_B,R_B,s_B,mu0_C,alpha_C,mu_bar_C,p_C,epsilon_C,R_C,s_C,C_bar,f_abc,f_abC,f_aBc,f_aBC,f_Abc,f_AbC,f_ABc,f_ABC,var_fitness
0,10000,1,1,0.0010000,1.0000,0,0.0001,1.0000,0.001,1,0.0010000,1.0000,0,0.0001,1.0000,0.001,1,0.0010000,1.0000,0,0.0001,1.0000,0.001,1.00000000,1,0,0,0,0,0,0,0,0E-16
10,10000.0000000000000000000000000,1,1,0.0010000,1,0E-2949,0.0001,1,0.0010000,1,0.0010000,1,0E-2949,0.0001,1,0.0010000,1,0.0010000,1,0E-2949,0.0001,1,0.0010000,1,1,0E-1017,0E-1046,0E-1997,0E-1047,0E-1998,0E-1998,0E-2949,0E-2963
20,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
30,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
40,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
50,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
60,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
70,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
80,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
90,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
100,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
110,10000.0000000000000000000000000,1,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,0.0010000,1,0E-1000003,0.0001,1,0.0010000,1,1,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000003,0E-1000017
